City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
228,Kieta,PG,-6.22,155.63,84.49,73,1,7.94,light rain
229,Bengkulu,ID,-3.8,102.27,77.61,84,100,3.62,overcast clouds
230,Seoul,KR,37.57,126.98,60.8,87,90,4.92,overcast clouds
231,Khatanga,RU,71.97,102.5,3.38,90,52,8.48,broken clouds
232,Aktau,KZ,43.65,51.2,37.4,86,100,6.71,overcast clouds
233,Fergus Falls,US,46.28,-96.08,28.4,86,90,1.25,overcast clouds
234,Carnarvon,AU,-24.87,113.63,69.8,64,40,18.34,scattered clouds
235,Dasoguz,TM,41.84,59.97,46.4,70,0,9.17,clear sky
236,Southbridge,US,42.08,-72.03,66.99,88,23,3.0,few clouds
237,Barrow,US,71.29,-156.79,33.8,94,90,17.22,fog
238,Palembang,ID,-2.92,104.75,78.8,83,20,2.24,few clouds
239,Geraldton,AU,-28.77,114.6,66.2,63,0,5.82,clear sky
240,Polunochnoye,RU,60.87,60.42,27.48,96,100,4.32,overcast clouds
241,Emerald,AU,-23.53,148.17,84.0,51,40,13.87,scattered clouds
242,Karwar,IN,14.8,74.13,75.74,89,98,1.32,overcast clouds
243,Lakselv,NO,70.05,24.97,23.0,85,68,28.86,broken clouds
244,Muskogee,US,35.58,-95.33,75.2,69,1,5.82,clear sky
245,Gizo,SB,-8.1,156.84,84.7,68,20,4.97,light rain
246,Tuktoyaktuk,CA,69.45,-133.04,17.6,78,40,8.05,scattered clouds
247,Narsaq,GL,60.92,-46.05,30.2,80,98,2.24,overcast clouds
248,Coari,BR,-4.08,-63.14,72.86,91,100,2.57,moderate rain
249,Pithoragarh,IN,29.58,80.22,49.24,78,0,2.91,clear sky
250,Teluk Nibung,ID,3.0,99.82,75.58,93,100,5.86,moderate rain
251,San Roque,ES,36.21,-5.38,64.4,93,98,8.05,light rain
252,Iwanai,JP,42.97,140.51,62.46,61,47,10.11,scattered clouds
253,Kumluca,TR,36.37,30.29,67.14,58,0,6.49,clear sky
254,Saint-Pierre,RE,-21.34,55.48,69.01,68,76,8.05,broken clouds
255,Payo,ID,-3.75,103.64,72.86,95,100,3.62,moderate rain
256,Hirara,JP,24.8,125.28,77.0,100,75,16.11,light intensity shower rain
257,Lompoc,US,34.64,-120.46,62.6,82,90,8.05,overcast clouds
258,Arman,RU,59.7,150.17,33.3,79,93,6.96,overcast clouds
259,Puksoozero,RU,62.59,40.61,28.76,99,88,3.49,overcast clouds
260,General Pico,AR,-35.66,-63.76,52.7,95,96,6.15,overcast clouds
261,Peniche,PT,39.36,-9.38,57.99,89,0,8.72,clear sky
262,Lorengau,PG,-2.02,147.27,83.88,74,90,6.64,light rain
263,Taoudenni,ML,22.68,-3.98,80.87,16,63,7.18,broken clouds
264,Mumford,GH,5.26,-0.76,77.58,91,45,8.81,scattered clouds
265,Areia Branca,BR,-4.96,-37.14,79.99,74,97,18.75,overcast clouds
266,Meulaboh,ID,4.14,96.13,78.84,80,100,4.41,overcast clouds
267,Tungor,RU,53.38,142.96,49.91,83,100,13.53,overcast clouds
268,Urucara,BR,-2.54,-57.76,77.85,83,100,2.53,light rain
269,Carlyle,US,38.61,-89.37,57.0,94,100,3.62,light rain
270,Esna,EG,25.29,32.55,73.4,28,0,2.24,clear sky
271,Champerico,GT,14.3,-91.92,75.2,94,90,6.93,thunderstorm with light rain
272,Bushehr,IR,28.97,50.84,76.42,48,0,3.96,clear sky
273,Dunedin,NZ,-45.87,170.5,54.0,80,100,14.0,overcast clouds
274,Pierre,US,44.37,-100.35,33.01,90,90,14.99,mist
275,Vitim,RU,59.45,112.56,27.14,96,98,6.93,overcast clouds
276,Payakumbuh,ID,-0.22,100.63,70.41,89,100,3.78,moderate rain
277,Longyearbyen,SJ,78.22,15.64,21.2,73,75,5.82,broken clouds
278,Cabo San Lucas,MX,22.89,-109.91,87.8,45,5,11.41,clear sky
279,Atambua,ID,-9.11,124.89,88.41,41,0,2.77,clear sky
280,Serra Negra,BR,-22.61,-46.7,69.8,73,15,16.11,few clouds
281,Port Lincoln,AU,-34.73,135.87,61.34,77,100,11.52,light rain
282,Tambura,SS,5.6,27.47,68.97,95,80,2.59,broken clouds
283,Alta,NO,69.97,23.27,24.8,79,70,14.99,broken clouds
284,Ust-Maya,RU,60.42,134.53,22.28,95,100,7.9,overcast clouds
285,Mae Hong Son,TH,19.3,97.97,75.2,94,75,2.24,broken clouds
286,Hurricane,US,37.18,-113.29,78.8,10,1,4.85,clear sky
287,Codrington,AU,-38.27,141.97,59.76,68,32,7.0,scattered clouds
288,Dunda,TZ,-8.12,34.25,68.31,62,100,2.26,overcast clouds
289,Ancud,CL,-41.87,-73.82,46.99,81,75,3.36,broken clouds
290,Alihe,CN,50.57,123.72,28.67,80,0,13.29,clear sky
291,Charters Towers,AU,-20.1,146.27,88.38,38,0,11.83,clear sky
292,Longhua,CN,23.61,114.19,68.92,55,100,6.49,overcast clouds
293,Tevaitoa,PF,-16.78,-151.5,79.97,72,59,10.94,broken clouds
