City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
360,Iquitos,PE,75.2,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
361,Airai,TL,78.62,clear sky,-8.93,125.41,Juvinal Martin
362,Mahon,ES,68.0,overcast clouds,39.89,4.27,ARTIEM Capri
363,Fecamp,FR,55.4,clear sky,49.76,0.37,Hôtel d'Angleterre
364,Aras,ES,60.8,broken clouds,42.56,-2.36,Jardines de Viana Spa
365,Wagga Wagga,AU,71.6,broken clouds,-35.12,147.37,The Club Motel and Apartments
369,Vila Franca Do Campo,PT,59.0,broken clouds,37.72,-25.43,Pestana Bahia Praia
373,Nantucket,US,62.01,clear sky,41.28,-70.1,Jared Coffin House
376,Minab,IR,60.8,clear sky,27.15,57.08,فروشگاه موبایل ترکمانی
378,San Benito,US,75.0,clear sky,36.62,-121.08,Song of the Ancients
379,Paita,PE,64.99,clear sky,-5.09,-81.11,Hotel Náutico de Paita
381,Magomeni,TZ,73.4,clear sky,-6.8,39.25,Holiday Inn Dar Es Salaam
382,Sao Joao Da Barra,BR,73.67,light rain,-21.64,-41.05,Pousada Porto De Canoas
383,Jampur,PK,61.5,clear sky,29.64,70.6,Qrzi Sultan
384,Eureka,US,63.0,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
385,Walvis Bay,NM,60.8,few clouds,-22.96,14.51,Oyster Box Guesthouse
387,Kisangani,CD,70.61,moderate rain,0.52,25.2,Grand Ramela Hotel
389,Kabwe,ZM,73.89,clear sky,-14.45,28.45,Tuskers
390,Knysna,ZA,50.0,light rain,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
391,Palenque,MX,75.07,clear sky,17.52,-91.97,Hotel Mision Palenque
392,Tra Vinh,VN,79.7,light rain,9.93,106.35,Hồng Ân
393,Nurota,UZ,50.0,overcast clouds,40.56,65.69,Guest House Ruslan Nurata & Tours
394,Rexburg,US,52.0,clear sky,43.83,-111.79,AmericInn by Wyndham Rexburg BYUI
396,Port-Gentil,GA,78.28,overcast clouds,-0.72,8.78,Fengshui Residence
399,Bintulu,MY,78.8,few clouds,3.17,113.03,900 Boutique INN
400,Leicester,GB,53.01,overcast clouds,52.64,-1.13,Mercure Leicester The Grand Hotel
401,Zhicheng,CN,66.99,clear sky,30.3,111.5,Wangjiang Building
406,Doha,QA,78.8,clear sky,25.29,51.53,Doha Marriott Hotel
407,Rabo De Peixe,PT,59.0,broken clouds,37.8,-25.58,Quinta das Giestas
408,Den Helder,NL,57.99,broken clouds,52.96,4.76,Hotel Den Helder
409,Cumra,TR,55.4,few clouds,37.57,32.77,Catalhoyuk Hotel
411,Senta,RS,50.81,overcast clouds,45.93,20.08,Senta
414,Sao Felix Do Xingu,BR,75.33,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
416,Aswan,EG,75.38,clear sky,24.09,32.91,Nuba Nile
424,Ahipara,NZ,61.9,light rain,-35.17,173.17,Ahipara Holiday Park
425,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
426,Weligama,LK,78.84,light rain,5.97,80.42,Weligama Bay Resort
431,Abaete,BR,73.83,light rain,-19.16,-45.45,Hotel Millenium
433,Half Moon Bay,US,77.0,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
434,Sydney Mines,CA,52.0,light intensity drizzle,46.24,-60.22,At The Harbourfront B&B Inc
436,Grand Gaube,MU,71.01,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
438,Mochudi,BW,68.0,few clouds,-24.42,26.15,Motsile BigMots' Place
440,Jalingo,NG,75.34,broken clouds,8.88,11.37,Debright Motel
441,Cayenne,GF,78.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
442,Tarsus,TR,69.8,clear sky,36.92,34.88,Osmanli Marco Pasha Hotel
444,Barra Do Garcas,BR,76.37,light rain,-15.89,-52.26,Hotel Pousada Tropical
446,Warri,NG,75.97,broken clouds,5.52,5.75,BON Hotel Delta
447,Hobyo,SO,79.43,clear sky,5.35,48.53,Osmani Hotel
448,Takoradi,GH,76.86,broken clouds,4.88,-1.76,Raybow International Hotel
449,San Quintin,MX,67.68,scattered clouds,30.48,-115.95,Old Mill Hotel
452,Kizukuri,JP,57.99,broken clouds,40.81,140.39,Hotel Sunroute Patio Goshogawara
454,Koraput,IN,64.65,overcast clouds,18.82,82.72,Raj Residency
455,Belmonte,BR,77.0,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
456,Royan,FR,59.0,clear sky,45.63,-1.03,Hôtel Cordouan Thalassothérapie et Spa - Royan
458,Matay,EG,70.68,clear sky,28.42,30.78,Nag Aespen
459,Odweyne,SO,71.4,clear sky,9.41,45.06,Eng Hiirey House
460,Mola Di Bari,IT,52.0,overcast clouds,41.06,17.09,Hotel Gabbiano
463,Barceloneta,PR,79.0,scattered clouds,18.45,-66.54,Manati World Point Inn
464,Cidreira,BR,65.91,light rain,-30.18,-50.21,Hotel Castelo
465,Phalodi,IN,76.33,clear sky,27.13,72.37,"HOTEL NEW GOLDEN PALACE , PHALODI"
467,Muisne,EC,74.7,broken clouds,0.6,-80.03,Quinta Samay
